movieId,title,genres,genres_list,genres_text,year,title_clean,tags_text,rating_mean,rating_count,rating_std,imdbId,tmdbId,content_text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",Adventure Animation Children Comedy Fantasy,1995.0,Toy Story,fun pixar,3.9209302325581397,215,0.8348591407114044,114709,862.0,toy story adventure animation children comedy fantasy fun pixar
2,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']",Adventure Children Fantasy,1995.0,Jumanji,fantasy game magic board game robin williams,3.4318181818181817,110,0.8817134921476453,113497,8844.0,jumanji adventure children fantasy fantasy game magic board game robin williams
3,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']",Comedy Romance,1995.0,Grumpier Old Men,moldy old,3.2596153846153846,52,1.0548226531330254,113228,15602.0,grumpier old men comedy romance moldy old
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance,1995.0,Waiting to Exhale,,2.357142857142857,7,0.8521681032463467,114885,31357.0,waiting to exhale comedy drama romance
5,Father of the Bride Part II (1995),Comedy,['Comedy'],Comedy,1995.0,Father of the Bride Part II,pregnancy remake,3.0714285714285716,49,0.9071475440448852,113041,11862.0,father of the bride part ii comedy pregnancy remake
6,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",Action Crime Thriller,1995.0,Heat,,3.946078431372549,102,0.8172244221533347,113277,949.0,heat action crime thriller
7,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']",Comedy Romance,1995.0,Sabrina,remake,3.185185185185185,54,0.9775609631923282,114319,11860.0,sabrina comedy romance remake
8,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']",Adventure Children,1995.0,Tom and Huck,,2.875,8,1.1259916264596033,112302,45325.0,tom and huck adventure children
9,Sudden Death (1995),Action,['Action'],Action,1995.0,Sudden Death,,3.125,16,0.9746794344808964,114576,9091.0,sudden death action
10,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",Action Adventure Thriller,1995.0,GoldenEye,,3.496212121212121,132,0.8593806844280277,113189,710.0,goldeneye action adventure thriller
11,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",Comedy Drama Romance,1995.0,"American President, The",politics president,3.6714285714285713,70,0.9004254802862112,112346,9087.0,american president the comedy drama romance politics president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']",Comedy Horror,1995.0,Dracula: Dead and Loving It,,2.4210526315789473,19,1.2501461902817699,112896,12110.0,dracula dead and loving it comedy horror
13,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']",Adventure Animation Children,1995.0,Balto,,3.125,8,0.6408699444616557,112453,21032.0,balto adventure animation children
14,Nixon (1995),Drama,['Drama'],Drama,1995.0,Nixon,politics president,3.8333333333333335,18,0.7071067811865476,113987,10858.0,nixon drama politics president
15,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']",Action Adventure Romance,1995.0,Cutthroat Island,,3.0,13,1.20761472884912,112760,1408.0,cutthroat island action adventure romance
16,Casino (1995),Crime|Drama,"['Crime', 'Drama']",Crime Drama,1995.0,Casino,mafia,3.926829268292683,82,0.8858348619181693,112641,524.0,casino crime drama mafia
17,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']",Drama Romance,1995.0,Sense and Sensibility,jane austen,3.7761194029850746,67,1.1457549518851469,114388,4584.0,sense and sensibility drama romance jane austen
18,Four Rooms (1995),Comedy,['Comedy'],Comedy,1995.0,Four Rooms,,3.7,20,0.9090191359227177,113101,5.0,four rooms comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy'],Comedy,1995.0,Ace Ventura: When Nature Calls,,2.727272727272727,88,1.0637957708161232,112281,9273.0,ace ventura when nature calls comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",Action Comedy Crime Drama Thriller,1995.0,Money Train,,2.5,15,0.9819805060619657,113845,11517.0,money train action comedy crime drama thriller
